画像番号,傾斜角度,初速,センサ時間,ホップ回転数,検出状態
,°,m/sec,usec,rps,
P1130184, -0.238,  79.02, 151.86,  98.2,
P1130185, -0.306,  78.76, 152.37,  92.1,
P1130186, -0.273,  78.84, 152.20,  90.9,
P1130187, -0.273,  78.85, 152.19,  94.0,
P1130188, -0.272,  78.98, 151.94,  91.0,
P1130189, -0.204,  78.93, 152.03, 116.0,
P1130190, -0.238,  79.11, 151.69, 110.0,
P1130191, -0.273,  78.91, 152.08, 116.1,Err1
P1130193, -0.272,  78.87, 152.14, 107.4,
P1130194, -0.238,  79.02, 151.86, 121.1,Err1
P1130195, -0.238,  79.07, 151.77, 143.7,
P1130196, -0.273,  79.27, 151.39, 147.8,
P1130197, -0.341,  79.04, 151.83, 152.7,Err1
P1130198, -0.306,  78.98, 151.94, 144.6,
P1130199, -0.238,  79.06, 151.78, 143.4,
P1130200, -0.273,  79.05, 151.81, 138.5,Err5
P1130201, -0.238,  79.16, 151.59, 143.7,
P1130202, -0.341,  78.81, 152.27, 142.9,
P1130203, -0.273,  78.99, 151.92, 144.7,
P1130204, -0.239,  78.90, 152.09, 149.3,
P1130205, -0.273,  78.73, 152.41, 176.4,
P1130206, -0.375,  78.89, 152.12, 172.5,
P1130207, -0.272,  78.70, 152.48, 175.1,
P1130208, -0.238,  78.70, 152.47, 172.7,
P1130209, -0.306,  78.71, 152.45, 177.3,
P1130210, -0.374,  78.95, 152.00, 169.8,Err5
P1130211, -0.273,  78.73, 152.42, 179.7,
P1130212, -0.238,  78.80, 152.28, 172.9,
P1130213, -0.273,  78.68, 152.52, 168.2,
P1130214, -0.307,  78.87, 152.14, 169.3,
P1130215, -0.273,  78.55, 152.77, 185.6,
P1130216, -0.307,  78.49, 152.89, 189.2,
P1130217, -0.273,  78.75, 152.39, 178.9,
P1130218, -0.273,  78.45, 152.97, 189.5,
P1130219, -0.273,  78.77, 152.34, 184.3,
P1130220, -0.273,  78.76, 152.37, 185.0,
P1130221, -0.307,  78.59, 152.69, 185.5,Err3
P1130222, -0.239,  78.86, 152.17, 187.4,
P1130223, -0.307,  78.93, 152.03, 183.3,
P1130224, -0.239,  78.56, 152.75, 181.1,
P1130225, -0.273,  78.44, 152.98, 186.4,
P1130226, -0.239,  78.33, 153.19, 182.7,
P1130227, -0.272,  78.43, 153.00, 184.6,
P1130228, -0.273,  78.24, 153.37, 183.0,
P1130229, -0.307,  78.43, 153.00, 185.7,
